ID,lineage,cell,MYC
ACH-000001,ovary,NIHOVCAR3,0.899288787
ACH-000002,blood,HL60,3.201463704
ACH-000003,colorectal,CACO2,1.046217375
ACH-000004,blood,HEL,1.252314046
ACH-000005,blood,HEL9217,1.321933194
ACH-000006,blood,MONOMAC6,1.095915083
ACH-000007,colorectal,LS513,0.979669795
ACH-000008,skin,A101D,0.807900845
ACH-000009,colorectal,C2BBE1,0.910024446
ACH-000011,urinary_tract,253J,0.844566062
ACH-000012,lung,HCC827,1.961352531
ACH-000013,ovary,ONCODG1,1.036125264
ACH-000014,skin,HS294T,0.971340445
ACH-000015,lung,NCIH1581,1.369786707
ACH-000016,kidney,SLR21,1.238898284
ACH-000017,breast,SKBR3,3.315498289
ACH-000018,urinary_tract,T24,1.061094724
ACH-000019,breast,MCF7,1.91494075
ACH-000020,blood,MHHCALL2,0.97179717
ACH-000021,lung,NCIH1693,1.021777423
ACH-000022,pancreas,PATU8988S,1.263635429
ACH-000023,pancreas,PATU8988T,1.229587824
ACH-000024,plasma_cell,OPM2,1.186560362
ACH-000025,central_nervous_system,CH157MN,1.299211307
ACH-000026,urinary_tract,253JBV,1.117828477
ACH-000027,central_nervous_system,GOS3,1.081148175
ACH-000028,breast,KPL1,1.50556327
ACH-000029,lung,HCC827GR5,2.509529184
ACH-000030,lung,PC14,1.166654032
ACH-000031,pancreas,PANC0213,1.062851614
ACH-000032,blood,MHHCALL3,0.986959475
ACH-000034,blood,PLB985,2.534203984
ACH-000035,lung,NCIH1650,1.611789688
ACH-000036,central_nervous_system,U343,1.060809909
ACH-000037,soft_tissue,S117,1.01986288
ACH-000038,lymphocyte,EHEB,1.003521287
ACH-000039,bone,SKNMC,1.564193308
ACH-000040,central_nervous_system,U118MG,1.069126652
ACH-000041,bone,RDES,1.22308769
ACH-000042,pancreas,PANC0203,1.709237671
ACH-000043,fibroblast,HS895T,1.003774926
ACH-000044,breast,MDAMB134VI,1.223228318
ACH-000045,blood,MV411,1.247809632
ACH-000046,kidney,ACHN,0.835140419
ACH-000047,gastric,GCIY,3.559600757
ACH-000048,ovary,TOV112D,1.101743508
ACH-000049,engineered_kidney,HEKTE,1.048178528
ACH-000050,plasma_cell,NCIH929,0.677822789
ACH-000051,soft_tissue,TE617T,0.9963616
ACH-000052,bone,A673,1.177289364
ACH-000053,lymphocyte,KARPAS299,1.015214893
ACH-000054,soft_tissue,HT1080,0.995857963
ACH-000055,central_nervous_system,D283MED,1.669879594
ACH-000056,lymphocyte,DOHH2,0.994560294
ACH-000057,plasma_cell,OPM1,1.139995639
ACH-000058,thyroid,ML1,1.44987448
ACH-000059,blood,SUPB15,1.249810785
ACH-000060,pancreas,PANC1005,1.328436748
ACH-000061,lymphocyte,HH,1.236618023
ACH-000062,lung,RERFLCMS,1.508622682
ACH-000063,fibroblast,HS616T,1.007084811
ACH-000064,engineered_lung,SALE,1.009933967
ACH-000065,blood,OCIAML5,1.312867057
ACH-000066,lung,HCC4006,1.092625908
ACH-000067,central_nervous_system,HS683,0.993972146
ACH-000068,lymphocyte,REC1,1.194519104
ACH-000069,lymphocyte,HS611T,1.296305607
ACH-000070,blood,697,1.260690868
ACH-000071,fibroblast,HS706T,0.994610106
ACH-000072,blood,MEG01,2.151780434
ACH-000073,lymphocyte,GRANTA519,1.013141311
ACH-000074,blood,KU812,1.390151313
ACH-000075,central_nervous_system,U87MG,1.01479964
ACH-000076,blood,NCO2,1.35807939
ACH-000077,lymphocyte,MJ,0.999307666
ACH-000078,peripheral_nervous_system,MHHNB11,1.121800128
ACH-000079,fibroblast,TE125T,1.002696014
ACH-000080,blood,BDCM,1.007775843
ACH-000081,blood,GDM1,1.320091375
ACH-000082,bone,G292CLONEA141B1,2.228061146
ACH-000083,fibroblast,HS281T,0.997361417
ACH-000085,pancreas,T3M4,1.112141303
ACH-000086,lung,ACCMESO1,1.268693744
ACH-000087,bone,SKES1,1.250099395
ACH-000088,fibroblast,HS172T,0.999050313
ACH-000089,colorectal,NCIH684,1.021973328
ACH-000090,prostate,PC3,1.553865847
ACH-000091,ovary,OV56,1.341714093
ACH-000092,lung,NCIH2452,1.121124662
ACH-000093,pancreas,PANC0504,1.033565606
ACH-000094,pancreas,HPAFII,1.098137292
ACH-000095,central_nervous_system,D341,4.513161855
ACH-000096,kidney,G401,1.004123376
ACH-000097,breast,ZR751,1.169519994
ACH-000098,central_nervous_system,GAMG,0.999897504
ACH-000099,peripheral_nervous_system,SIMA,1.018763959
ACH-000100,soft_tissue,RH41,0.971091563
ACH-000101,blood,KE37,1.211394633
ACH-000102,central_nervous_system,GMS10,1.289665154
ACH-000103,ovary,CAOV4,3.687399262
ACH-000104,blood,LOUCY,0.985022561
ACH-000105,blood,ALLSIL,1.286748476
ACH-000106,lymphocyte,JVM2,1.001718022
ACH-000107,pancreas,CAPAN2,1.138431915
ACH-000108,pancreas,KP3,1.021457739
ACH-000109,lung,NCIH3255,1.210245048
ACH-000110,gastric,NCCSTCK140,1.432171397
ACH-000111,breast,HCC1187,1.136594269
ACH-000112,blood,SIGM5,1.154389717
ACH-000113,blood,OCIAML2,1.264911962
ACH-000114,pancreas,SU8686,1.181910605
ACH-000115,prostate,VCAP,1.351971621
ACH-000116,ovary,OAW28,1.141643877
ACH-000117,breast,EFM192A,3.481474633
ACH-000118,pancreas,HUPT3,2.361260331
ACH-000119,fibroblast,HS863T,1.000862758
ACH-000120,peripheral_nervous_system,CHP212,0.994452706
ACH-000121,lung,NCIH2405,1.069366383
ACH-000122,blood,SUPT11,1.562914274
ACH-000123,ovary,COV434,1.019557289
ACH-000124,lymphocyte,OCILY19,1.588922547
ACH-000125,fibroblast,TO175T,1.013987658
ACH-000126,central_nervous_system,KG1C,1.216527393
ACH-000127,kidney,SLR20,1.257387592
ACH-000128,central_nervous_system,LN319,0.980779761
ACH-000129,lung,NCIH1341,1.408823932
ACH-000130,blood,NALM19,0.991746743
ACH-000131,fibroblast,HS229T,1.003280722
ACH-000132,ovary,JHOS2,1.382481242
ACH-000133,fibroblast,HS729,1.001626916
ACH-000134,fibroblast,HS274T,0.999148252
ACH-000135,fibroblast,HS940T,1.140006017
ACH-000136,peripheral_nervous_system,CHP126,0.98454765
ACH-000137,central_nervous_system,8MGBA,1.463287152
ACH-000138,pancreas,CFPAC1,0.953848648
ACH-000139,pancreas,PANC0327,1.186046877
ACH-000140,lymphocyte,PFEIFFER,1.291170266
ACH-000141,bile_duct,SNU308,1.00129408
ACH-000142,urinary_tract,CAL29,0.920779575
ACH-000143,lung,HCC2429,1.024011552
ACH-000144,gastric,RERFGC1B,1.058073751
ACH-000145,soft_tissue,SKLMS1,0.871222787
ACH-000146,blood,THP1,1.309486799
ACH-000147,breast,T47D,1.218709384
ACH-000148,breast,HS578T,1.590608009
ACH-000149,peripheral_nervous_system,SKNSH,1.005500948
ACH-000150,lung,HCC2935,0.598525376
ACH-000151,blood,JM1,0.937468318
ACH-000152,central_nervous_system,M059K,0.83340891
ACH-000153,lung,NCIH2052,1.562398325
ACH-000154,fibroblast,HS888T,1.005220411
ACH-000155,pancreas,SW1990,1.062416898
ACH-000156,blood,MHHCALL4,1.014691046
ACH-000157,lymphocyte,A4FUK,1.072180444
ACH-000158,lymphocyte,OCILY3,1.013979076
ACH-000159,kidney,OSRC2,0.756699421
ACH-000160,soft_tissue,BT12,1.01101876
ACH-000161,lung,CORL105,1.165220547
ACH-000162,lymphocyte,GA10,0.993939782
ACH-000163,thyroid,SW579,1.151696981
ACH-000164,pancreas,PANC1,1.062549802
ACH-000165,fibroblast,HS751T,1.00876245
ACH-000166,blood,KASUMI6,0.991249201
ACH-000167,gastric,KE97,1.28112395
ACH-000168,blood,NOMO1,1.270064777
ACH-000169,soft_tissue,RD,1.012817941
ACH-000170,engineered_prostate,PRECLH,1.00571126
ACH-000171,kidney,VMRCRCZ,1.068954465
ACH-000172,soft_tissue,TM87,1.02574621
ACH-000173,uterus,JHUEM3,1.773065918
ACH-000174,thyroid,CAL62,1.184344883
ACH-000175,fibroblast,TE159T,1.0129042
ACH-000176,lung,LOUNH91,0.96906152
ACH-000177,prostate,NCIH660,1.824673278
ACH-000178,pancreas,HS766T,1.233514944
ACH-000179,lung,NCIH1618,1.393531245
ACH-000180,fibroblast,HS839T,0.996821509
ACH-000181,upper_aerodigestive,SCC9,1.422661042
ACH-000182,bile_duct,SNU869,1.047628637
ACH-000183,plasma_cell,L363,1.264113962
ACH-000184,fibroblast,HS343T,1.000737188
ACH-000185,fibroblast,HS737T,1.004005545
ACH-000186,lung,NCIH2444,1.397965142
ACH-000187,lung,CORL311,2.849379772
ACH-000188,upper_aerodigestive,SCC25,1.282758343
ACH-000189,kidney,RCC10RGB,0.988313718
ACH-000190,lymphocyte,HDMYZ,1.584787173
ACH-000191,thyroid,BHT101,3.076978881
ACH-000192,uterus,MFE280,1.191449544
ACH-000193,plasma_cell,KARPAS620,1.041280703
ACH-000194,fibroblast,HS934T,1.002001386
ACH-000195,blood,SET2,1.067352299
ACH-000196,breast,HCC1599,1.776672761
ACH-000197,blood,TALL1,1.043900765
ACH-000198,blood,EOL1,1.316738634
ACH-000199,fibroblast,HS255T,1.00023802
ACH-000200,central_nervous_system,NMCG1,0.967949614
ACH-000201,soft_tissue,A204,1.287541757
ACH-000202,colorectal,COLO320,4.715294506
ACH-000203,peripheral_nervous_system,NH6,0.992131575
ACH-000204,plasma_cell,LP1,1.482205603
ACH-000205,pancreas,PK59,1.154955421
ACH-000206,lymphocyte,C8166,0.987127446
ACH-000207,upper_aerodigestive,DETROIT562,1.387330914
ACH-000208,central_nervous_system,U178,1.054310795
ACH-000209,bile_duct,SNU1079,1.035754357
ACH-000210,bone,CADOES1,1.554569519
ACH-000211,central_nervous_system,DAOY,0.949527977
ACH-000212,breast,CAL120,1.565615945
ACH-000213,pancreas,HUPT4,0.959410066
ACH-000214,fibroblast,HS675T,1.006422231
ACH-000215,central_nervous_system,LN382,1.159826728
